Ref,Val,Package,PosX,PosY,Rot,Side
"LED1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",5.080000,-5.080000,0.000000,top
"LED2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",36.285714,-5.080000,0.000000,top
"LED3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.491428,-5.080000,0.000000,top
"LED4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.697142,-5.080000,0.000000,top
"LED5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",129.902856,-5.080000,0.000000,top
"LED6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",161.108570,-5.080000,0.000000,top
"LED7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",192.314284,-5.080000,0.000000,top
"LED8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",223.520000,-5.080000,0.000000,top
"LED9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",5.080000,-26.670000,0.000000,top
"LED10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",35.891432,-26.670000,0.000000,top
"LED11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.162860,-26.670000,0.000000,top
"LED12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.434288,-26.670000,0.000000,top
"LED13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",129.705716,-26.670000,0.000000,top
"LED14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",160.977144,-26.670000,0.000000,top
"LED15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",192.248572,-26.670000,0.000000,top
"LED16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",223.520000,-26.670000,0.000000,top
"LED17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",5.080000,-49.106666,0.000000,top
"LED18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",36.285714,-49.106666,0.000000,top
"LED19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.491428,-49.106666,0.000000,top
"LED20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.697142,-49.106666,0.000000,top
"LED21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",129.902856,-49.106666,0.000000,top
"LED22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",161.108570,-49.106666,0.000000,top
"LED23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",192.314284,-49.106666,0.000000,top
"LED24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",223.520000,-49.106666,0.000000,top
"LED25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",5.080000,-71.120000,0.000000,top
"LED26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",36.285714,-71.120000,0.000000,top
"LED27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.491428,-71.120000,0.000000,top
"LED28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.697142,-71.120000,0.000000,top
"LED29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",129.902856,-71.120000,0.000000,top
"LED30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",161.108570,-71.120000,0.000000,top
"LED31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",192.314284,-71.120000,0.000000,top
"LED32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",223.520000,-71.120000,0.000000,top
